array	tag	cdx_name	var_id_14_8_3_0	var_id_15_8_4_0	notes
g1	AAS		0x0000	0x0000	INACT; value=40
g1	ABS		0x0001	0x0001	INACT; value=64
g1	ADU			0x0002	value=192
g1	AEU			0x0003	value=192
g1	AHD		0x0002	0x0004	INACT; value=64
g1	ASN		0x0003	0x0005	INACT; value=64
g1	AUI		0x0004	0x0006	INACT; value=64
g1	SP3		0x0005	0x0007	value=25
g1	AVU		0x0006	0x0008	value=150
g1	IAR			0x0009	value=192
g1	BTV	BluetoothApplicationIdentifier	0x0007	0x000A	value=32
g1	BBV	BluetoothBootloaderIdentifier	0x0008	0x000B	value=32
g1	BA0		0x0009	0x000C	value=13
g1	BP0		0x000A	0x000D	value=65
g1	BFI		0x000B	0x000E	value=13
g1	BMF		0x000C	0x000F	value=13
g1	BTN	BluetoothName	0x000D	0x0010	value=20
g1	BPK		0x000E	0x0011	value=4
g1	BPM	BluetoothProductModel	0x000F	0x0012	value=50
g1	BPP	BluetoothProductProvider	0x0010	0x0013	value=50
g1	BID	BootloaderIdentifier	0x0011	0x0014	value=64
g1	CMD	CamlData	0x0012	0x0015	value=2000
g1	CDP	CellularDataPreamble	0x0013	0x0016	value=64
g1	CCD	SIMID	0x0014	0x0017	value=20
g1	CIE	IMEI	0x0015	0x0018	value=15
g1	CIM	IMSI	0x0016	0x0019	value=15
g1	CPM	CellularProductModel	0x0017	0x001A	value=50
g1	CPP	CellularProductProvider	0x0018	0x001B	value=50
g1	CSI	CellularApplicationIdentifier	0x0019	0x001C	value=100
g1	CLA	AccessPointName	0x001A	0x001D	value=128
g1	CLU	ServiceHost	0x001B	0x001E	value=192
g1	PUR		0x001C	0x001F	value=192
g1	CID	ConfigurationIdentifier	0x001D	0x0020	value=64
g1	CP3		0x001E	0x0021	value=25
g1	CP1		0x001F	0x0022	value=12
g1	DAT		0x0020	0x0023	value=32
g1	DVT		0x0021	0x0024	value=32
g1	DEJ		0x0022	0x0025	value=32
g1	DEH		0x0023	0x0026	value=32
g1	IAT			0x0027	value=32
g1	DCE		0x0024	0x0028	value=32
g1	DTC		0x0025	0x0029	value=32
g1	DPD		0x0026	0x002A	value=32
g1	DAA			0x002B	value=32
g1	DEF		0x0027	0x002C	value=32
g1	DEL		0x0028	0x002D	value=32
g1	DER		0x0029	0x002E	value=32
g1	DOT		0x002A	0x002F	value=32
g1	DTT		0x002B	0x0030	value=32
g1	URI		0x002C	0x0031	value=192
g1	DGE		0x002D	0x0032	value=32
g1	IPT		0x002E	0x0033	value=32
g1	MLT		0x002F	0x0034	value=32
g1	DMT		0x0030	0x0035	value=32
g1	MPT		0x0031	0x0036	value=32
g1	DMF		0x0032	0x0037	value=32
g1	DRT		0x0033	0x0038	value=32
g1	DCT		0x0034	0x0039	value=32
g1	DSF		0x0035	0x003A	value=32
g1	DDT		0x0036	0x003B	value=32
g1	SVE		0x0037	0x003C	value=32
g1	DNF		0x0038	0x003D	value=32
g1	DNS		0x0039	0x003E	value=32
g1	DHT		0x003A	0x003F	value=32
g1	DHE		0x003B	0x0040	value=32
g1	DEV		0x003C	0x0041	value=32
g1	DET		0x003D	0x0042	value=32
g1	DTF		0x003E	0x0043	value=32
g1	DPT		0x003F	0x0044	value=32
g1	DUT		0x0040	0x0045	value=32
g1	DMV	DataModelVersionIdentifier	0x0041	0x0046	value=32
g1	UDI	FdaUniqueDeviceIdentifier	0x0042	0x0047	value=86
g1	FGT		0x0043	0x0048	value=16
g1	FSN		0x0044	0x0049	value=16
g1	AAG		0x0045	0x004A	value=30
g1	GCD		0x0046	0x004B	value=29
g1	ANA		0x0047	0x004C	value=1
g1	GSD		0x0048	0x004D	value=32
g1	HPI		0x0049	0x004E	value=32
g1	HSN		0x004A	0x004F	value=18
g1	HVI		0x004B	0x0050	value=16
g1	IUR		0x004C	0x0051	value=192
g1	LAB		0x004D	0x0052	value=64
g1	LAI		0x004E	0x0053	value=64
g1	LFB		0x004F	0x0054	value=64
g1	LFS		0x0050	0x0055	value=64
g1	LCT		0x0051	0x0056	value=128
g1	LUR		0x0052	0x0057	value=192
g1	MD0		0x0053	0x0058	value=1368
g1	MD1		0x0054	0x0059	value=1368
g1	MSM		0x0055	0x005A	value=30
g1	MUR		0x0056	0x005B	value=192
g1	QCD		0x0057	0x005C	value=8
g1	QCO		0x0058	0x005D	value=16
g1	QCV		0x0059	0x005E	value=8
g1	OAA		0x005A	0x005F	value=13
g1	OAN		0x005B	0x0060	value=30
g1	ON0		0x005C	0x0061	value=30
g1	ON1		0x005D	0x0062	value=30
g1	ON2		0x005E	0x0063	value=30
g1	ON3		0x005F	0x0064	value=30
g1	ON4		0x0060	0x0065	value=30
g1	OSN		0x0061	0x0066	value=30
g1	PCB	HardwareIdentifier	0x0062	0x0067	value=50
g1	MAD	ApplicationData	0x0063	0x0068	value=1024
g1	PCD	ProductCode	0x0064	0x0069	value=10
g1	PGI	ProductGeographicIdentifier	0x0065	0x006A	value=60
g1	PNA	ProductName	0x0066	0x006B	value=32
g1	PVI	ProfileVariantIdentifier	0x0067	0x006C	value=36
g1	RUR		0x0068	0x006D	value=192
g1	SRN	SerialNumber	0x0069	0x006E	value=18
g1	SVC		0x006A	0x006F	value=3
g1	SID	ApplicationIdentifier	0x006B	0x0070	value=64
g1	SP1		0x006C	0x0071	value=12
g1	GUD	UniversalIdentifier	0x006D	0x0072	value=36
g1	ZRG		0x006E	0x0073	value=16
g2	ABH	AmbientHumidity-Estimated	0x006F	0x0074	0..100 step 0.1
g2	FLW	RawFlow	0x0070	0x0075	-30000..30000 step 1
g2	PRS	AdcPressure	0x0071	0x0076	0..4095 step 1
g2	ATH			0x0077	0..4095 step 1
g2	ATL			0x0078	0..4095 step 1
g2	ATM			0x0079	0..4095 step 1
g2	HMA	HerAuto-MaxPressure	0x0072	0x007A	active_vids=3; 4..20 step 0.2; modes=HerAuto
g2	HMI	HerAuto-MinPressure	0x0073	0x007B	active_vids=3; 4..20 step 0.2; modes=HerAuto
g2	HSP	HerAuto-StartPressure	0x0074	0x007C	active_vids=3; 4..20 step 0.2
g2	AHI	Summary-ApneaHypopneaIndex	0x0075	0x007D	0..240 step 0.1
g2	AHC		0x0076	0x007E	0..4095 step 1
g2	ASC	Summary-ApneaIndex	0x0077	0x007F	0..240 step 0.1
g2	TAE			0x0080	-2147483647..2147483647 step 1
g2	AAU		0x0078	0x0081	0..2147483647 step 1
g2	ADI			0x0082	1..64 step 1
g2	AEI			0x0083	1..64 step 1
g2	AIU		0x0079	0x0084	0..2147483647 step 1
g2	ACV		0x007A	0x0085	0..2147483647 step 1
g2	ESR		0x007B	0x0086	0..2147483647 step 1
g2	AVC		0x007C	0x0087	0..2147483647 step 1
g2	ATF		0x007D	0x0088	0..2147483647 step 1
g2	LPR		0x007E	0x0089	-10..45 step 0.02
g2	LPF		0x007F	0x008A	-10..45 step 0.02
g2	AV9		0x0080	0x008B	INACT; 0..30 step 0.125
g2	AVA		0x0081	0x008C	INACT; 0..30 step 0.125
g2	AVM		0x0082	0x008D	INACT; 0..30 step 0.125
g2	AHR	RawAmbHumidity	0x0083	0x008E	0..65535 step 1
g2	ALS	AmbientLight	0x0084	0x008F	0..120000 step 1
g2	APS			0x0090	-2147483647..2147483647 step 1
g2	ATR	RawAmbTemperature	0x0085	0x0091	0..65535 step 1
g2	AVS		0x0086	0x0092	0..2147483647 step 1
g2	APC		0x0087	0x0093	0..3000 step 1
g2	ATC		0x0088	0x0094	0..3000 step 1
g2	DUR		0x0089	0x0095	0..120 step 1
g2	APP		0x008A	0x0096	0..20 step 0.2
g2	AP5	ApneaTreatmentPressure-50hz	0x008B	0x0097	0..20 step 0.2
g2	APV	ApneaAlarmThreshold	0x008C	0x0098	INACT; 10..60 step 1
g2	AID		0x008D	0x0099	0..2147483647 step 1
g2	ASP		0x008E	0x009A	-10..45 step 0.2
g2	APT		0x008F	0x009B	0..2147483647 step 1
g2	XD1	ASVAuto-MaxExpiratoryPressure	0x0090	0x009C	active_vids=12; 4..15 step 0.2; modes=ASVAuto
g2	XD3	ASVAuto-MaxPressureSupport	0x0091	0x009D	active_vids=12; 5..20 step 0.2; modes=ASVAuto
g2	XD2	ASVAuto-MinExpiratoryPressure	0x0092	0x009E	active_vids=12; 4..15 step 0.2; modes=ASVAuto
g2	XD4	ASVAuto-MinPressureSupport	0x0093	0x009F	active_vids=12; 0..6 step 0.2; modes=ASVAuto
g2	XD0	ASVAuto-StartPressure	0x0094	0x00A0	active_vids=12; 4..15 step 0.2
g2	XC2	ASV-MaxPressureSupport	0x0095	0x00A1	active_vids=12; 5..20 step 0.2; modes=ASV
g2	XC3	ASV-MinPressureSupport	0x0096	0x00A2	active_vids=12; 0..6 step 0.2; modes=ASV
g2	XC1	ASV-TargetExpiratoryPressure	0x0097	0x00A3	active_vids=12; 4..15 step 0.2; modes=ASV
g2	XC0	ASV-StartPressure	0x0098	0x00A4	active_vids=12; 4..15 step 0.2
g2	IAI			0x00A5	1..64 step 1
g2	NSE		0x0099	0x00A6	0..4095 step 1
g2	ATP		0x009A	0x00A7	4..25 step 0.2
g2	AT5	AutoSetTreatmentPressure-50hz	0x009B	0x00A8	4..25 step 0.2
g2	LKP		0x009C	0x00A9	0..2 step 0.02
g2	AAH		0x009D	0x00AA	0..100 step 0.1
g2	AUM	Summary-AmbientHumidity-50	0x009E	0x00AB	0..100 step 0.1
g2	AAP			0x00AC	INACT; 700..1100 step 1
g2	ABP	HeatedTubePWMMinuteAverage	0x009F	0x00AD	0..100 step 0.1
g2	AHM	Summary-HeatedTubePower-50	0x00A0	0x00AE	0..100 step 0.1
g2	HTA	HeatedTubeOutletTemperatureMinuteAverage	0x00A1	0x00AF	0..40 step 0.1
g2	HTE	Summary-HeatedTubeTemperature-50	0x00A2	0x00B0	0..40 step 0.1
g2	HHT	HumidifierPlateTemperatureMinuteAverage	0x00A3	0x00B1	0..100 step 0.1
g2	HHE	Summary-HumidifierTemperature-50	0x00A4	0x00B2	0..100 step 0.1
g2	AHP	HumidifierPWMMinuteAverage	0x00A5	0x00B3	0..100 step 0.1
g2	APM	Summary-HumidifierPower-50	0x00A6	0x00B4	0..100 step 0.1
g2	AIP	InspiratoryPressure-OneMinute	0x00A7	0x00B5	0..50 step 0.2
g2	AFL		0x00A8	0x00B6	-4..4 step 0.01
g2	BFM	Summary-BlowerFlow-50	0x00A9	0x00B7	-4..4 step 0.01
g2	BPA	BlowerPressure-OneMinute	0x00AA	0x00B8	-10..45 step 0.02
g2	AEP		0x00AB	0x00B9	0..30 step 0.2
g2	HRV		0x00AC	0x00BA	0..300 step 1
g2	AIE		0x00AD	0x00BB	0..400 step 1
