var_id	uart	edf_signal	resmed_name	notes
0x0000	BID		BOOTLOADR_ID	Bootloader ID
0x0001	FGT		FG_TYPE	FG Type
0x0002	PCB		PCB_ID	PCB ID
0x0003	PCD		PRODUCT_CODE	Product Code
0x0004	PNA		PRODUCT_NAME	Product Name
0x0005	SID		SOFTWARE_ID	Software ID
0x0006	SRN		SERIAL_NUM	Serial Number
0x0007	CID		CONFIG_SOFTWARE_ID	Config Software ID
0x0008	QTI		MODULE_INT_TYPE	Module Type
0x0009	QVI		MODULE_INT_SW_VERSION	Module SW Version
0x000A	QSI		MODULE_INT_SERIAL_NUM	Module Serial Number
0x000B	QCO		MODULE_INT_OPERATOR	Module Operator
0x000C	QCV		MODULE_INT_SERVICE	Module Service
0x000D	LCT		LCD_TEXT	LCD Text
0x000E	AVR			
0x000F	FSN			
0x0010	HID		HEIGHT_UNIT	
0x0011	MDB			
0x0012	RSS			CAL 0012 serial request/reply buffer; Calibration Serial Request/Reply
0x0013	DRX			CAL 0012 raw serial RX buffer; Calibration Serial RX
0x0014	DTX			CAL 0012 raw serial TX buffer; Calibration Serial TX
0x0015	EXW			
0x0016	EXR			
0x0017	CRX			
0x0018	ZRD			
0x0019	ZRG			
0x001A	ZXT			
0x001B	ZMT			
0x001C	ZME			
0x001D	ZPM			
0x001E	MID		METADATA_ID	Metadata ID
0x001F	VID		VARIANT_ID	Variant ID
0x0020	RID		REGION_ID	Region ID
0x0021	ATO		ACTIV_TIMOUT	Activity Timeout
0x0022	BLE		BOOT_LOADER_ERR	Bootloader Error
0x0023	DCR	Crc16	RECORD_CRC	Record CRC
0x0024	IPC	S.C.Press	CPAP	CPAP Set Pressure
0x0025	MPA	S.AS.MaxPress	MAX_PRESSURE	AutoSet Max Pressure
0x0026	IPP	S.BL.IPAP	IPAP	IPAP [cmH2O] (4.0 .. 25.0 step 0.2); Bilevel IPAP
0x0027	BRR		BACKUP_RESP_RATE	Backup Resp Rate
0x0028	MCP		MAX_CS_PRESSURE	
0x0029	MTT		MEAN_TAR_MINVENT	Mean Target Minute Vent [L/min]
0x002A	TGT		TARGET_VENTILATION	TgMV [L/min] (0.0 .. 30.0 step 0.1); Target Ventilation [L/min]
0x002B	VA9	TgtVent.95	TAR_MIN_VENT_95	Target Vent P95 [L/min]
0x002C	VAA	TgtVent.Max	TAR_MIN_VENT_MAX	Target Vent Max [L/min]
0x002D	VAM	TgtVent.50	TAR_MIN_VENT_MED	Target Vent Median [L/min]
0x002E	IVP		MAX_IVAPS_PRESSURE	
0x002F	PHT		IVAPS_HEIGHT	Height [cm] (110 .. 250 step 5); Height
0x0030	PHI		IVAPS_HEIGHT_INCHES	Height [inches] (44 .. 100 step 2); Height
0x0031	ADR		ALARM_DUR	
0x0032	LMA		LOW_MIN_VENT_ALM_THRESHOLD	Low MV [L/min] (0 .. 10 step 1); Low MV Alarm
0x0033	APX		APNEA_ALM_THRESHOLD	Apnea Alarm [s] (9 .. 60 step 1); Apnea Alarm
0x0034	SPX		SPO2_ALM_THRESHOLD	Low SpO2 [%] (69 .. 95 step 1); Low SpO2 Alarm
0x0035	HDR		HOSE_DROP	Hose Drop
0x0036	MAP		AVG_MASK_PRESS	Avg Mask Pressure
0x0037	MKF		FILT_MASK_PRESS	Filtered Mask Pressure
0x0038	MKP		MASK_PRESS	Mask Pressure
0x0039	MSP	MaskPress.50	MEDP_SESSION	Median Pressure
0x003A	PM9	MaskPress.95	P95_SESSION	Pressure P95
0x003B	PMA	MaskPress.Max	MAXP_SESSION	Pressure Max
0x003C	SPP		SET_PRESSURE	Set Pressure [cmH2O] (0.0 .. 30.0 step 0.2); Set Pressure (runtime)
0x003D	TEP		TGT_EXP_PRES	Pressure [cmH2O] (2.0 .. 30.0 step 0.2); Target EPAP
0x003E	TIP		TGT_INSP_PRES	Pressure [cmH2O] (4.0 .. 30.0 step 0.2); Target IPAP
0x003F	BP9	BlowPress.95	BLOWER_PRESS_95TH	Blower Pressure P95
0x0040	BP5	BlowPress.5	BLOWER_PRESS_5TH	Blower Pressure P5
0x0041	ATP		AUTO_PRESS	AutoSet Pressure
0x0042	MKE		EPR_PRESSURE	EPR Pressure
0x0043	MKI		BI_THERAPY_PRESSURE	Bilevel Mask Pressure
0x0044	AEP		AVG_EPR_PRESS	Avg EPR Pressure
0x0045	AIP		AVG_BI_THERAPY_PRESS	Avg Bilevel Pressure
0x0046	PI9	TgtIPAP.95	I_95_SESSION	IPAP P95
0x0047	PIA	TgtIPAP.Max	I_MAX_SESSION	IPAP Max
0x0048	PIM	TgtIPAP.50	I_MED_SESSION	IPAP Median
0x0049	PE9	TgtEPAP.95	E_95_SESSION	EPAP P95
0x004A	PEA	TgtEPAP.Max	E_MAX_SESSION	EPAP Max
0x004B	PEM	TgtEPAP.50	E_MED_SESSION	EPAP Median
0x004C	AHI	AHI	AHI_SESSION	
0x004D	AIS	AI	AI_SESSION	
0x004E	DUR		APNEA_DUR	Apnea Duration
0x004F	HIS	HI	HI_SESSION	Hypopnea Index
0x0050	RIN	RIN	RIN_SESSION	RERA Index
0x0051	MAV		MEAN_ACHV_ALV_MIN_VENT	
0x0052	AVM		ALV_MIN_VENT_MED	
0x0053	AV9		ALV_MIN_VENT_95	
0x0054	AVA		ALV_MIN_VENT_MAX	
0x0055	AAV		ACHV_ALV_MIN_VENT	Va [L/min] (0.0 .. 30.0 step 0.1)
0x0056	CLI	OAI	CAI_SESSION	Central AI
0x0057	OPI	CAI	OAI_SESSION	Obstructive AI
0x0058	UAI	UAI	UAI_SESSION	Unknown AI
0x0059	HMS	S.HumLevel	HUMIDITY_SET	Humidity Level
0x005A	HTS	S.Temp	HEAT_TB_SET	Tube Temp
0x005B	HTF		HEAT_TB_SET_F	Tube Temp. [°F] (60 .. 86 step 1); Tube Temp
0x005C	AFL		AVG_BLOWER_FLOW	Avg Blower Flow
0x005D	BFM	BlowFlow.50	AVG_BLOWER_FLOW_MED	Avg Blower Flow Median
0x005E	ABH		ABSOLUTE_AMBIENT_HUMIDITY	Ambient Humidity
0x005F	ABM	AmbHumidity.50	AMB_HUMIDITY_MED	Ambient Humidity Median
0x0060	PPA		PLATE_POWER_APPLIED	Plate Power Applied
